from_team_name,to_team_name,weight,transfer_fee
Blackpool,Birmingham,9,0
Blackpool,Blackburn,10,600000
Blackpool,Bradford,9,1
Blackpool,Bury,16,0
Blackpool,Fleetwood,12,0
Blackpool,Middlesbrough,9,0
Blackpool,Morecambe FC,9,40000
Blackpool,Oldham Athletic,10,0
Blackpool,Plymouth,10,700000
Blackpool,Port Vale,9,180000
Blackpool,Rochdale,15,0
Blackpool,Tranmere,11,348000
Blyth Spartans,Gateshead,9,0
Boa Esporte,Operário VG,9,0
Boa Esporte,São Bernardo,10,0
Boavista,Beira-Mar,9,0
Boavista,Benfica,11,12700000
Boavista,Desportivo Aves,17,0
Boavista,Duque de Caxias,16,0
Boavista,FC Porto,10,2500000
Boavista,Feirense,9,150000
Boavista,Flamengo,10,0
Boavista,Gondomar,17,0
Boavista,Leixões,10,0
Boavista,Vasco da Gama,10,0
Boavista CJ,Pasteleira S15,11,0
Boavista Y19,Boavista,60,0
Boca Juniors,Banfield,10,2320000
Boca Juniors,Belgrano,9,0
Boca Juniors,CA Talleres,15,3270000
Boca Juniors,Chacarita Jrs.,12,1130000
Boca Juniors,Colon,10,1500000
Boca Juniors,Estudiantes LP,12,20750000
Boca Juniors,Huracán,9,442000
Boca Juniors,Lanús,11,2550000
Boca Juniors,Racing Club,15,2270000
Boca Juniors,Rosario Central,13,1717000
Boca Juniors,Tigre,16,8930000
Bodrum FK,Antalyaspor,9,0
Bodø/Glimt,Rosenborg,18,2250000
Bodø/Glimt Yth.,Bodø/Glimt,24,0
Bohemians 1905,Dukla Prague,10,0
Bohemians 1905,Mlada Boleslav,10,0
Bohemians 1905,Slavia Prague,14,0
Bohemians 1905,Sparta Prague,14,905000
Bohemians 1905,Sparta Prague B,9,0
Bohemians 1905,Viktoria Plzen,9,1360000
Bohemians Praha,Semice,10,0
Bohs Academy,Bohemians,18,0
Boin MS,Boin HS,10,0
Bologna,Ascoli,12,0
Bologna,Atalanta BC,13,900000
Bologna,Brescia,10,800000
Bologna,Cesena,11,3250000
Bologna,Genoa,10,8000000
Bologna,Hellas Verona,16,1400000
Bologna,Inter,17,32650000
Bologna,Juventus,19,13950000
Bologna,Lecce,11,1800000
Bologna,Montreal,9,0
Bologna,Napoli,11,79000000
Bologna,Torino,10,4730000
Bolton,Cardiff,11,6800000
Bolton,Hull City,11,145000
Bolton,Oldham Athletic,9,0
Boluspor,Göztepe,9,160000
Boluspor,Sanliurfaspor ,13,10000
Boreham Wood,Dag & Red FC,9,0
Botafogo,Atlético-GO,10,0
Botafogo,Atlético-MG,9,10600000
Botafogo,Boavista,9,0
Botafogo,Corinthians,13,1350000
Botafogo,Cruzeiro,16,1250000
Botafogo,EC Bahia,11,2000000
Botafogo,Figueirense FC,11,0
Botafogo,Fluminense,9,0
Botafogo,Grêmio,10,0
Botafogo,Internacional,13,0
Botafogo,RWDM,16,0
Botafogo,São Paulo,14,0
Botafogo,Tombense,10,0
Botafogo-SP,CRB,11,0
Botafogo-SP,Chapecoense,12,0
Botafogo-SP,Corinthians,9,0
Botafogo-SP,Coritiba FC,19,0
Botafogo-SP,Guarani,10,0
Botafogo-SP,Santos,9,0
Botafogo-SP,São Caetano,9,0
Bournemouth,Dorchester,9,0
Bournemouth,Portsmouth,15,1615000
Bournemouth,Southampton,17,40000
Bournemouth,Weymouth FC,9,15000
Bradford,Huddersfield,11,1800000
Bradford,Middlesbrough,10,4070000
Bradford,Notts County,9,0
Braga B,Moreirense ,13,1000000
Braga B,SC Braga,46,0
Bragantino,Capivariano,12,0
Bragantino,Corinthians,23,550000
Bragantino,Palmeiras,9,0
Bragantino B,Red Bull,9,0
Brasil Pelotas,Santo André,9,0
Brasiliense-DF,Ceilândia,12,0
Brasiliense-DF,Samambaia,30,0
Brentford,AFC Wimbledon,12,0
Brentford,Crawley Town,10,0
Brentford,Gillingham,9,225000
Brentford,Ipswich,9,0
